"Transport_line","Transport_Time"
"0-10","17"
"0-11","9"
"0-12","15"
"0-5","12"
"0-6","10"
"0-7","13"
"0-8","20"
"0-9","14"
"1-10","8"
"1-11","15"
"1-12","10"
"1-5","15"
"1-6","5"
"1-7","20"
"1-8","18"
"1-9","10"
"2-10","17"
"2-11","17"
"2-12","20"
"2-5","8"
"2-6","16"
"2-7","18"
"2-8","14"
"2-9","17"
"3-10","9"
"3-11","15"
"3-12","14"
"3-5","5"
"3-6","18"
"3-7","14"
"3-8","5"
"3-9","11"
"4-10","12"
"4-11","14"
"4-12","11"
"4-5","8"
"4-6","7"
"4-7","18"
"4-8","9"
"4-9","18"
"5-10","5"
"5-11","18"
"5-12","11"
"6-10","15"
"6-11","6"
"6-12","13"
"7-10","5"
"7-11","19"
"7-12","6"
"8-10","6"
"8-11","13"
"8-12","18"
"9-10","9"
"9-11","20"
"9-12","17"
