"ChargeID","CastID","CC","ChargeRoute"
"1","1","13","0-1-2-3"
"2","1","13","0-2-3"
"3","1","13","0-1-2-3"
"4","1","13","0-1-2-3"
"5","1","13","0-2-3"
"6","1","13","0-1-2-3"
"7","2","13","1-2-3"
"8","2","13","0-1-2-3"
"9","2","13","1-2-3"
"10","2","13","0-2-3"
"11","2","13","0-2-3"
"12","2","13","0-2-3"
"13","3","13","0-1-2-3"
"14","3","13","0-1-2-3"
"15","3","13","0-1-2-3"
"16","3","13","0-1-3"
"17","3","13","0-2-3"
"18","3","13","1-2-3"
"19","4","13","1-2-3"
"20","4","13","0-2-3"
"21","4","13","0-1-3"
"22","4","13","0-1-2-3"
"23","4","13","0-1-2-3"
"24","4","13","0-1-2-3"
"25","5","14","0-2-3"
"26","5","14","0-1-2-3"
"27","5","14","1-2-3"
"28","5","14","0-1-2-3"
"29","5","14","0-1-3"
"30","5","14","0-2-3"
"31","6","14","0-2-3"
"32","6","14","0-1-2-3"
"33","6","14","0-1-3"
"34","6","14","0-1-2-3"
"35","6","14","0-1-3"
"36","6","14","0-1-2-3"
"37","7","14","1-2-3"
"38","7","14","0-1-3"
"39","7","14","0-2-3"
"40","7","14","0-1-3"
"41","7","14","1-2-3"
"42","7","14","0-2-3"
"43","8","14","0-1-2-3"
"44","8","14","0-1-3"
"45","8","14","1-2-3"
"46","8","14","1-2-3"
"47","8","14","0-1-2-3"
"48","8","14","0-2-3"
"49","9","15","0-1-2-3"
"50","9","15","1-2-3"
"51","9","15","0-2-3"
"52","9","15","0-1-3"
"53","9","15","0-1-2-3"
"54","9","15","1-2-3"
"55","10","15","1-2-3"
"56","10","15","1-2-3"
"57","10","15","0-2-3"
"58","10","15","1-2-3"
"59","10","15","1-2-3"
"60","10","15","1-2-3"
"61","11","15","0-1-3"
"62","11","15","0-1-2-3"
"63","11","15","0-1-3"
"64","11","15","0-1-3"
"65","11","15","1-2-3"
"66","11","15","0-2-3"
"67","12","15","0-2-3"
"68","12","15","0-2-3"
"69","12","15","0-2-3"
"70","12","15","0-1-2-3"
"71","12","15","1-2-3"
