"StageID","ChargeID","MinTime","Standard_Time","MaxTime"
"0","1","28","30","31"
"0","10","29","33","43"
"0","101","25","29","36"
"0","102","47","48","52"
"0","103","30","33","34"
"0","104","25","31","36"
"0","106","17","25","35"
"0","107","19","23","28"
"0","108","38","44","51"
"0","11","22","30","36"
"0","110","38","48","57"
"0","111","21","25","33"
"0","112","35","38","44"
"0","12","45","47","52"
"0","14","39","45","52"
"0","15","21","22","32"
"0","16","33","43","45"
"0","18","45","50","55"
"0","19","32","39","46"
"0","2","45","46","47"
"0","20","37","45","49"
"0","21","37","40","41"
"0","22","26","28","33"
"0","23","19","22","24"
"0","24","38","45","51"
"0","25","40","43","52"
"0","27","26","34","42"
"0","28","22","32","34"
"0","29","32","38","46"
"0","3","23","25","29"
"0","32","42","47","55"
"0","33","44","45","51"
"0","34","19","24","28"
"0","35","21","28","38"
"0","37","22","25","26"
"0","38","33","37","43"
"0","40","12","21","27"
"0","41","35","45","53"
"0","42","20","29","31"
"0","43","25","27","36"
"0","44","24","26","28"
"0","45","17","22","23"
"0","47","20","24","32"
"0","49","46","47","57"
"0","50","29","39","47"
"0","51","35","43","46"
"0","52","36","44","51"
"0","53","27","34","37"
"0","54","38","45","49"
"0","57","22","30","35"
"0","6","34","39","45"
"0","62","44","47","55"
"0","63","30","40","45"
"0","64","23","30","34"
"0","65","36","41","45"
"0","66","41","50","51"
"0","68","29","37","45"
"0","69","32","37","46"
"0","70","32","39","46"
"0","71","15","20","28"
"0","72","30","37","40"
"0","73","26","27","28"
"0","74","18","22","28"
"0","75","12","22","29"
"0","76","22","27","34"
"0","77","40","46","54"
"0","78","15","24","27"
"0","81","32","37","41"
"0","82","26","35","40"
"0","83","35","40","48"
"0","85","40","44","46"
"0","86","11","20","29"
"0","87","14","24","33"
"0","89","40","48","58"
"0","9","44","46","50"
"0","91","18","25","28"
"0","92","40","44","53"
"0","93","33","34","42"
"0","94","12","20","26"
"0","95","28","38","42"
"0","96","35","39","43"
"0","97","23","31","41"
"0","98","29","39","46"
"0","99","22","26","30"
"1","10","21","25","30"
"1","100","42","43","50"
"1","101","42","49","52"
"1","104","38","41","43"
"1","106","14","20","27"
"1","108","30","33","38"
"1","109","30","35","43"
"1","11","23","28","36"
"1","110","26","31","36"
"1","111","45","48","49"
"1","12","32","41","43"
"1","13","18","26","32"
"1","14","26","29","32"
"1","15","35","38","48"
"1","18","32","39","40"
"1","2","14","22","30"
"1","20","34","39","49"
"1","21","23","30","40"
"1","22","41","49","58"
"1","23","28","32","35"
"1","28","46","48","52"
"1","29","42","44","52"
"1","3","18","20","23"
"1","31","19","20","28"
"1","33","21","25","35"
"1","34","22","29","34"
"1","35","30","32","37"
"1","38","31","34","39"
"1","39","29","35","37"
"1","40","40","45","49"
"1","43","29","39","44"
"1","44","32","37","40"
"1","45","19","24","26"
"1","48","16","23","27"
"1","49","31","34","44"
"1","5","37","38","42"
"1","50","27","32","40"
"1","52","19","26","35"
"1","53","19","24","34"
"1","55","14","23","25"
"1","56","24","28","30"
"1","57","20","21","23"
"1","59","20","26","27"
"1","6","36","37","39"
"1","61","40","47","56"
"1","62","34","37","43"
"1","63","16","23","25"
"1","64","16","23","32"
"1","65","41","48","51"
"1","66","40","44","47"
"1","67","36","44","48"
"1","69","36","40","45"
"1","7","24","28","32"
"1","70","13","20","29"
"1","71","27","33","39"
"1","75","13","21","31"
"1","76","20","22","25"
"1","77","38","43","47"
"1","79","19","20","26"
"1","80","35","37","44"
"1","81","38","48","53"
"1","82","34","35","40"
"1","86","40","45","47"
"1","88","31","41","42"
"1","89","22","29","30"
"1","9","26","35","37"
"1","90","24","25","34"
"1","92","32","38","48"
"1","93","12","22","31"
"1","94","23","31","39"
"1","95","20","23","24"
"1","97","18","28","29"
"1","98","31","39","48"
"1","99","21","30","33"
"2","1","42","46","50"
"2","10","36","42","49"
"2","102","31","39","47"
"2","103","34","36","45"
"2","104","44","46","50"
"2","105","39","41","45"
"2","106","21","23","31"
"2","107","34","38","43"
"2","108","22","32","36"
"2","109","31","38","39"
"2","11","35","42","43"
"2","112","18","21","27"
"2","12","25","27","32"
"2","13","38","46","47"
"2","15","19","20","26"
"2","16","17","24","29"
"2","17","40","42","45"
"2","18","39","45","48"
"2","19","38","45","55"
"2","20","31","33","40"
"2","21","17","25","26"
"2","22","46","48","52"
"2","23","20","27","33"
"2","24","33","37","46"
"2","26","18","22","24"
"2","27","25","28","33"
"2","28","39","48","57"
"2","29","41","48","57"
"2","30","41","50","60"
"2","31","23","24","27"
"2","32","18","22","32"
"2","33","27","34","38"
"2","34","27","33","42"
"2","36","41","42","51"
"2","38","34","39","45"
"2","4","38","47","53"
"2","40","21","31","36"
"2","42","36","39","45"
"2","43","16","23","32"
"2","44","41","47","49"
"2","45","32","37","45"
"2","46","20","21","31"
"2","47","33","37","44"
"2","48","39","45","53"
"2","49","34","41","42"
"2","50","29","36","41"
"2","51","18","23","31"
"2","54","38","47","53"
"2","56","41","48","58"
"2","58","16","26","32"
"2","59","37","47","57"
"2","6","48","49","50"
"2","60","32","33","38"
"2","61","12","20","28"
"2","62","21","28","38"
"2","63","18","24","25"
"2","64","23","33","38"
"2","65","27","33","43"
"2","67","21","31","41"
"2","68","37","42","50"
"2","69","24","34","37"
"2","7","25","31","41"
"2","70","28","33","38"
"2","71","42","43","51"
"2","72","30","35","40"
"2","73","18","24","32"
"2","74","35","44","52"
"2","75","26","35","39"
"2","76","31","33","39"
"2","78","39","42","43"
"2","79","23","33","37"
"2","8","44","48","49"
"2","80","20","24","30"
"2","81","33","41","50"
"2","82","31","33","36"
"2","83","42","45","50"
"2","84","18","28","29"
"2","85","13","22","31"
"2","86","32","37","45"
"2","87","16","25","27"
"2","88","22","26","31"
"2","89","32","34","42"
"2","9","29","37","43"
"2","91","37","43","52"
"2","93","41","46","48"
"2","94","15","20","23"
"2","95","46","50","52"
"2","96","33","42","46"
"2","97","20","25","26"
"2","98","28","38","45"
"2","99","23","24","26"
"3","1","11","21","26"
"3","100","26","28","30"
"3","101","37","44","54"
"3","103","42","49","56"
"3","105","33","35","43"
"3","106","44","48","52"
"3","107","17","26","35"
"3","108","33","42","49"
"3","109","43","44","54"
"3","11","33","34","38"
"3","110","30","39","47"
"3","111","40","50","57"
"3","112","29","33","37"
"3","12","24","31","39"
"3","15","31","39","45"
"3","16","33","39","45"
"3","17","25","29","32"
"3","18","35","37","41"
"3","19","26","28","34"
"3","2","16","21","29"
"3","21","33","35","40"
"3","24","46","50","55"
"3","25","35","41","42"
"3","26","26","32","41"
"3","28","26","29","38"
"3","29","27","37","42"
"3","3","31","32","40"
"3","30","34","40","42"
"3","31","46","48","55"
"3","34","19","21","31"
"3","35","26","27","30"
"3","36","33","38","46"
"3","37","31","35","45"
"3","38","30","38","46"
"3","39","35","38","41"
"3","4","21","24","25"
"3","41","14","24","33"
"3","44","18","20","25"
"3","45","14","24","28"
"3","46","28","34","36"
"3","47","41","47","55"
"3","48","11","20","30"
"3","49","36","41","45"
"3","5","25","30","34"
"3","50","46","48","54"
"3","51","43","49","56"
"3","52","29","38","43"
"3","53","45","49","55"
"3","54","22","30","36"
"3","55","20","27","37"
"3","56","25","35","45"
"3","57","41","45","53"
"3","58","24","26","30"
