"CCID","ChargeID","MinTime","Standard_Time","MaxTime"
"19","1","40","45","52"
"19","10","53","55","58"
"19","11","44","53","62"
"19","12","37","46","52"
"19","13","43","51","53"
"19","14","43","50","54"
"19","2","46","55","58"
"19","3","40","49","53"
"19","4","35","40","48"
"19","5","38","42","48"
"19","6","47","48","57"
"19","7","36","43","47"
"19","8","48","50","57"
"19","9","53","57","58"
"20","15","52","55","58"
"20","16","55","58","65"
"20","17","39","48","57"
"20","18","46","48","51"
"20","19","41","46","53"
"20","20","30","40","47"
"20","21","50","58","67"
"20","22","42","46","49"
"20","23","38","43","53"
"20","24","30","40","45"
"20","25","53","54","59"
"20","26","37","44","54"
"20","27","41","46","48"
"20","28","35","45","49"
"21","29","42","45","53"
"21","30","42","50","60"
"21","31","43","47","50"
"21","32","40","44","45"
"21","33","30","40","45"
"21","34","33","41","47"
"21","35","39","44","47"
"21","36","52","55","60"
"21","37","49","59","65"
"21","38","30","40","41"
"21","39","32","42","44"
"21","40","35","40","44"
"21","41","44","51","60"
"21","42","43","48","58"
"22","43","39","43","51"
"22","44","37","43","45"
"22","45","38","41","50"
"22","46","52","59","64"
"22","47","45","54","59"
"22","48","46","52","60"
"22","49","48","57","66"
"22","50","44","46","48"
"22","51","41","42","51"
"22","52","58","60","69"
"22","53","31","40","46"
"22","54","48","57","66"
"22","55","41","42","43"
"22","56","38","46","54"
